1514937600000,81.6
1515024000000,81.6
1515110400000,82.5
1515369600000,83.15
1515456000000,81.45
1515542400000,78.5
1515628800000,77.5
1515715200000,77.8
1515974400000,77.8
1516060800000,79.75
1516147200000,80
1516233600000,82.15
1516320000000,82
1516579200000,82.85
1516665600000,83.6
1516752000000,83.7
1516838400000,80.2
1516924800000,82.9
1517184000000,82
1517270400000,82
1517356800000,83.5
1517443200000,85
1517529600000,88.2
1517788800000,84.7
1517875200000,80.25
1517961600000,83
1518048000000,80
1518134400000,79.65
1518393600000,81.1
1518480000000,81.4
1518566400000,80.35
1518652800000,80.5
1518739200000,83.25
1518998400000,83
1519084800000,83.3
1519171200000,82.35
1519257600000,82.5
1519344000000,83
1519603200000,84.55
1519689600000,84.95
1519776000000,85.35
1519862400000,83.3
1519948800000,83
1520208000000,84.5
1520294400000,85
1520380800000,89
1520467200000,88.6
1520553600000,90.95
1520812800000,91.45
1520899200000,92.2
1520985600000,90
1521072000000,89.75
1521158400000,91.1
1521417600000,90.45
1521504000000,86.2
1521590400000,90.6
1521676800000,89.15
1521763200000,87.5
1522022400000,85.65
1522108800000,89.35
1522195200000,84.9
1522281600000,86.85
